address,latitude,longitude,car_type,zoneId,zoneName
경기 수원시 권선구 곡반정동 103-1,37.245087,127.035492,2,11206,수원 곡반정중학교 앞
경기 하남시 신장동 612,37.543571,127.223671,2,11211,하남 주렁주렁
경기 수원시 권선구 탑동 848 해피타운,37.270729,126.97551,2,11218,수원 탑동중앙사거리
경기 김포시 풍무동 202-1,37.606842,126.72348,2,11221,김포 풍무사거리
경기 수원시 영통구 영통동 961-4,37.255512,127.073441,2,11225,영통역 8번출구
경기 용인시 기흥구 서천동 811,37.236393,127.073029,2,11227,용인 세인트힐타워
경기 수원시 장안구 정자동 75-18,37.289993,127.000397,2,11229,수원 정자시장
경기 화성시 산척동 717-5,37.170635,127.107315,2,11234,동탄 레이크파로스
경기 용인시 수지구 풍덕천동 709-6,37.325058,127.096611,2,11236,용인 수지주차장
경기 수원시 권선구 금곡동 1115-4,37.275146,126.954788,2,11237,호매실 딜라이트타워2
경기 화성시 봉담읍 와우리 26-12 태천센타,37.213985,126.974312,2,11238,화성 태천프라자
경기 수원시 권선구 오목천동 558-3 한양빌딩,37.239841,126.967819,2,11239,오목초등학교 옆
경기 광명시 하안동 38 뉴코아아울렛,37.461117,126.87941,2,11242,뉴코아아울렛 광명점
경기 고양시 일산동구 마두동 803 뉴삼창마트주차타워,37.651302,126.779213,2,11259,마두역 8번출구
경기 김포시 구래동 6879-3,37.645435,126.624451,2,11260,구래역 1번출구
경기 광주시 경안동 58-11,37.41066,127.258286,2,11261,경안동 행정복지센터 앞
경기 안양시 동안구 평촌동 916,37.383785,126.961517,2,11262,안양 귀인중학교 앞
경기 동두천시 생연동 726-3 동두천중앙역,37.900982,127.05648,2,11275,동두천중앙역 4번출구
경기 화성시 산척동 724-4,37.169468,127.118301,2,11281,화성 정현초등학교 앞
경기 수원시 영통구 반달로 35번길 30 (영통동),37.251785,127.077454,2,11282,영통역 아이파크오피스텔
경기 수원시 팔달구 인계동 1040-4,37.265411,127.031662,2,11283,수원시청 뒤(현진빌딩)
경기 평택시 팽성읍 안정순환로104번길 35,36.959427,127.0457,2,11285,평택 파라디아오피스텔
경기 양주시 덕계동 467,37.82156,127.046005,2,11286,덕계 근린공원
경기 남양주시 평내동 140 리치플러스,37.65033,127.243141,2,11288,평내동 리치플러스
경기 안산시 단원구 선부동 1077-16,37.332836,126.811111,2,11309,선부광장(원영크레온 오피스텔)
경기 안산시 단원구 고잔동 716-6 MK,37.308697,126.827858,2,11325,안산MK주차타워
경기 수원시 권선구 권선동 1015-8,37.259014,127.030243,2,11335,수원시청역 3번출구(동수원주차장)
경기 하남시 망월동 1114 이화미사타워,37.561348,127.19239,2,11348,미사 이화주차타워
경기 광명시 광명동 156-9,37.479156,126.857742,2,11349,광명사거리역 10번출구
경기 김포시 마산동 675-7,37.636745,126.644646,2,11352,김포 마산파출소 옆
경기 용인시 처인구 포곡읍 전대리 546-57,37.282833,127.221275,2,11357,에버랜드역 1번출구 옆
경기 고양시 덕양구 성사동 552-1,37.661911,126.842918,2,11360,고양 생활체육공원
경기 양주시 옥정동 943 양주옥정3단지,37.835869,127.088165,2,11367,CU 양주행복점
경기 포천시 신읍동 161-7,37.900879,127.200653,2,11369,CU 포천보건소점
경기 포천시 소흘읍 송우리 729-11 고운마을주공아파트,37.827419,127.141251,2,11370,CU 송우고운점
경기 구리시 인창동 208-39,37.60421,127.145622,2,11377,구리 6공영노외주차장
경기 안산시 단원구 고잔동 526-3,37.317631,126.829422,2,11379,CU 안산그랑베르점
경기 구리시 인창동 676-7 다우스퀘어,37.602581,127.142799,2,11386,구리역공원 옆
경기 파주시 와동동 1304-2,37.730118,126.752342,2,11391,운정 임시공영주차장
경기 하남시 망월동 1098-1 에코브리지2,37.563206,127.189781,2,11397,미사 에코브리지2
경기 안양시 만안구 안양동 674-151,37.398178,126.923729,2,11398,안양 1번가
경기 파주시 와동동 1408,37.719757,126.749313,2,11404,운정 호수공원
경기 파주시 동패동 1892,37.711502,126.739189,2,11405,운정 카페거리 옆
경기 용인시 처인구 역북동 597,37.228745,127.188354,2,11407,용인상공회의소
경기 용인시 수지구 죽전동 551-1,37.331039,127.112099,2,11418,이마트에브리데이 죽전
경기 용인시 기흥구 마북동 523-1,37.299309,127.107765,2,11419,구성농협 구성역지점
경기 성남시 분당구 백현동 535 그레이츠 판교(GREITS PANGYO),37.394279,127.112129,2,11428,그레이츠 판교
경기 평택시 지제동 559-4,37.01852,127.071205,2,11433,지제역 1번출구
경기 부천시 내동 12-7 향신채,37.51963,126.77491,2,11434,부천 내동사거리
경기 남양주시 다산동 6184,37.612572,127.168663,2,11436,정약용도서관 옆
경기 군포시 부곡동 1119,37.325035,126.944458,2,11445,거성 아우룸팰리스
경기 오산시 금암동 500-3,37.175728,127.050781,2,11446,W파크타워
경기 수원시 팔달구 인계동 1043-9 신흥빌딩,37.263897,127.031319,2,11449,수원시청역 8번출구(신흥빌딩)
경기 포천시 신읍동 201-5,37.899239,127.204689,2,11451,포천우체국 옆
경기 연천군 전곡읍 은대리 573 전곡읍행정복지센터,38.027306,127.064934,2,11464,은대공원 옆 공영주차장
경기 시흥시 정왕동 2303-2,37.352314,126.739784,2,11465,정왕역(스카이드림씨티)
경기 수원시 장안구 조원동 893 아울렛쇼핑타운,37.30352,127.0075,2,11466,북수원 패션아울렛
경기 고양시 덕양구 행신동 762-2 행신 로터스 플레이스,37.613396,126.834579,2,11470,CGV 고양행신
경기 파주시 목동동 945,37.728085,126.734177,2,11474,산들초등학교 옆
경기 김포시 장기동 2039-2 프레즌스빌딩,37.639275,126.674713,2,11475,가현초등학교 앞
"경기 고양시 덕양구 통일로 760 (관산동, 더퍼스트프라임)",37.68792,126.866127,2,11476,고양 더퍼스트프라임아파트
경기 안양시 동안구 관양동 1722-2,37.40583,126.972969,2,11480,인덕원역 파크에비뉴
경기 고양시 덕양구 토당로 110 (토당동),37.624683,126.818024,2,11491,GS슈퍼마켓 능곡점
경기 화성시 반송동 40 패밀리타운,37.20937,127.062866,2,11497,동탄 패밀리타워
경기 화성시 오산동 1088-1,37.203197,127.096718,2,11508,동탄 푸르지오시티
경기 파주시 금촌동 956-5 대하빌딩,37.755753,126.773201,2,11511,금촌 대하프라자
경기 남양주시 평내동 200-4,37.649952,127.237999,2,11516,다이소 CM타워점
경기 화성시 반송동 86-7 오피스타워,37.206795,127.074402,2,11529,동탄 오피스타워
경기 구리시 수택동 429-3,37.596943,127.13813,2,11533,구리시립체육공원 옆
경기 시흥시 대야동 568-1,37.446873,126.791679,2,11555,CGV 시흥점
경기 고양시 덕양구 삼송동 293 삼송역 현대 헤리엇,37.653023,126.898903,2,11557,삼송역 현대헤리엇 아파트
경기 수원시 장안구 정자동 436-6,37.305882,126.991692,2,11561,수원 효자문사거리
경기 오산시 수청동 621-1,37.168938,127.065521,2,11567,오산대역 1번출구
경기 남양주시 다산동 6055-2 Y PARK 타워,37.625614,127.154465,2,11572,다이소 다산신도시점
경기 의정부시 용현동 10-12,37.737862,127.086128,2,11585,송산역 1번출구
경기 오산시 오산동 603-18,37.148037,127.067863,2,11588,오산역 1번출구
경기 파주시 문산읍 당동리 892 와우시티에이동,37.866608,126.784157,2,11590,CGV 파주문산점
경기 수원시 팔달구 매산로1가 16,37.26799,127.001366,2,11596,수원역 로데오거리
경기 성남시 분당구 서현동 298-3,37.376919,127.133484,2,11608,분당 효자촌프라자
경기 가평군 청평면 청평리 465-5,37.738136,127.419678,2,11612,청평터미널
경기 여주시 여흥로128번길 13-10 (홍문동),37.294167,127.637375,2,11619,여주시민회관 앞
경기 의정부시 의정부동 501-1,37.737358,127.04361,2,11621,경전철의정부역 2번출구(웨딩팰리스주차장)
경기 군포시 산본동 1146,37.360558,126.928368,2,11645,한숲스포츠센터
경기 광주시 장지동 43-3,37.396301,127.244652,2,11646,장지2동마을회관 옆
